title,manual_bin,manual_score_proxy,manual_bin_id
HR Program Manager,low,10,0
Digital Inclusion Manager,low,10,0
Sustainability Advisor,low,10,0
Account Acquisition Specialist,high,80,2
Product Transformation Specialist,low,10,0
Silo Operator,low,10,0
Art and Music Sales,high,80,2
Oracle Developer,low,10,0
Asia-Pacific Director,low,10,0
Engineering Scheduler,low,10,0
App Store Optimizer,high,80,2
Experimentation Scientist,mid,40,1
Bankruptcy Collector,mid,40,1
Finance Instructor,low,10,0
Phonics Teacher,low,10,0
Medicaid Coordinator,low,10,0
Delivery Support Agent,low,10,0
Transaction Advisory Analyst,low,10,0
Order Management,mid,40,1
Managing Director Assistant,low,10,0
Accounting Audit Assistant,low,10,0
Robotics Engineer,low,10,0
Insurance Branch Director,mid,40,1
Deviation Manager,low,10,0
Cabinet Expert,low,10,0
Motorcycle Mechanic,low,10,0
Environmental Policy,low,10,0
Data Entry Technician,low,10,0
Park Services,low,10,0
Fine Artist,low,10,0
Field Safety Engineer,low,10,0
Tool Technician,low,10,0
Industry-Specific Assembler,low,10,0
Project Engineer - Oil and Gas,low,10,0
General Nurse Practitioner,low,10,0
Communications Intern,mid,40,1
Imaging Technologist,low,10,0
Neighborhood Organizer,low,10,0
Footwear Merchandiser,high,80,2
Scrum Coach,low,10,0
Copyright Attorney,low,10,0
Recruitment Sales Specialist,high,80,2
Radioactive Waste Technician,low,10,0
Aircraft Maintenance Leadership,low,10,0
Insurance Software Developer,low,10,0
Open Source Advocate,mid,40,1
Truck Driver Leader,low,10,0
Oncology Data Analyst,low,10,0
Mobile QA Tester,low,10,0
Medical Lead,low,10,0
Correctional Librarian,low,10,0
Agricultural Intern,low,10,0
Acronym Coordinator,low,10,0
Filing Clerk,low,10,0
HCM Reporting,low,10,0
Security Advisor,low,10,0
Pharmacy Utilization Expert,low,10,0
Blood Collection,low,10,0
People Succes,low,10,0
Food Production Specialist,low,10,0
Commercialization Manager,high,80,2
Industrial Paramedic,low,10,0
Franchise Data Analyst,mid,40,1
Cybersecurity Product Manager,mid,40,1
In Vivo Pharmacologist,low,10,0
Aviation Business Analyst,low,10,0
Mobility Trainer,low,10,0
Health Coordinator,low,10,0
Localization Specialist,low,10,0
Passenger Shuttle Driver,low,10,0
Sign Specialist,low,10,0
Catastrophe Data Analyst,low,10,0
Healthcare Executive Manager,low,10,0
Market Sizing,high,80,2
Apprenticeship Analyst,low,10,0
Battery Engineering Intern,low,10,0
Document Developer,low,10,0
Vendor Management,mid,40,1
Welcome Host,low,10,0
Ocean Scientist,low,10,0
Credit Evaluator,low,10,0
Mobility Device Technician,low,10,0
Sales Pricing Analyst,high,80,2
Kitchen and Bath Designer,low,10,0
Motion Capture Artist,low,10,0
Quality Inspectors by Industry,low,10,0
Research Specialist,low,10,0
Client Services Director,mid,40,1
Immunology Research Fellow,low,10,0
PWA Developer,low,10,0
Early Childhood Coordinator,low,10,0
Security Product Lead,mid,40,1
Talent Operation,low,10,0
Agreement Specialist,mid,40,1
Criminal Investigation Director,low,10,0
Grain Quality Analyst,low,10,0
Mobile Security Analyst,low,10,0
Ghost Kitchen Operator,low,10,0
Asia Pacific Sales,high,80,2
Contracts Director,mid,40,1
Hazardous Materials Technician,low,10,0
Crisis Mental Health Responder,low,10,0
Industrial Catering Manager,low,10,0
Tenant Coordinator,mid,40,1
Financial Forecaster,low,10,0
Corporate Planning Manager,low,10,0
Political Science Teacher,low,10,0
School Counseling,low,10,0
Logistics Product Manager,mid,40,1
Case Manager,low,10,0
Payment Solutions Sales,high,80,2
Marketing Intern,high,80,2
Structural Engineer,low,10,0
Fashion Store Manager,high,80,2
Livestock Transport Driver,low,10,0
Portfolio Underwriter,low,10,0
Scrap Processor,low,10,0
Agricultural Technician,low,10,0
Claims Handler,low,10,0
Vehicle Component Tester,low,10,0
Technology Sales Representative,high,80,2
Inspection Management,low,10,0
Credit Analyst,low,10,0
Lunchroom Staff,low,10,0
RPA Support Engineer,low,10,0
Franchise Auditor,low,10,0
Mobile Car Wash Technician,low,10,0
Fashion Strategist,mid,40,1
Telecommunications Recruiter,low,10,0
Healthcare Chef,low,10,0
Sustainable Supply Chain,low,10,0
Calibration Technician,low,10,0
Motion Engineer,low,10,0
Industrial Fluid Specialist,low,10,0
Infrastructure Counsel,low,10,0
Eye Care Provider,low,10,0
Scheduling Supervisor,low,10,0
Mining Inspector,low,10,0
Manual Production Worker,low,10,0
Storage Engineer,low,10,0
Aesthetic Sales Representative,high,80,2
Aerial Photographer,low,10,0
Middle School Coach,low,10,0
Network Operations Lead,low,10,0
Derivatives Operator,low,10,0
Residential Housing Coordinator,low,10,0
Sonar Operator,low,10,0
Language Translator,low,10,0
Grants Compliance,low,10,0
Road Maintenance Technician,low,10,0
Restaurant Inspector,low,10,0
International Innovation,low,10,0
Healthcare Revenue Cycle Project Manager,low,10,0
Livestock Coordinator,low,10,0
Wealth Management,mid,40,1
Thermal Engineer,low,10,0
Healthcare Network Specialist,low,10,0
Data Architecture,low,10,0
